"","Species","Body_length","Proboscis_length","Head_diameter"
"575","1181.2",4.4,0.958181818,1.320909091
"576","1181.2",4.4,0.958181818,1.320909091
"577","1181.2",4.4,0.958181818,1.320909091
"578","1181.2",4.4,0.958181818,1.320909091
"579","1181.2",4.4,0.958181818,1.320909091
"580","1181.2",4.4,0.958181818,1.320909091
"581","1181.2",4.4,0.958181818,1.320909091
"582","1181.2",4.4,0.958181818,1.320909091
"583","1181.2",5.74,1.8,1.59
"584","1181.2",8.33,2.6,2.68
"585","1181.3",6.8,1.9,2.01
"586","1181.3",6.37,1.54,1.95
"587","1181.3",11.42333333,2.93,3.056666667
"588","1181.3",11.12111111,4.162222222,3.78
"589","1181.3",11.12111111,4.162222222,3.78
"590","1181.3",11.12111111,4.162222222,3.78
"591","1181.3",11.12111111,4.162222222,3.78
"592","1181.3",11.12111111,4.162222222,3.78
